Result,Result_On,Var_Id
11.1390002441406,2023-05-03 13:37:00.000,340
11.1530004882813,2023-05-03 13:42:00.000,340
10.7990002441406,2023-05-03 14:17:00.000,340
10.8519995117188,2023-05-03 14:42:00.000,340
10.555,2023-05-03 14:57:00.000,340
10.3319995117188,2023-05-03 15:12:00.000,340
10.2320001220703,2023-05-03 15:42:00.000,340
10.1,2023-05-03 15:52:00.000,340
9.99900024414062,2023-05-03 16:42:00.000,340
9.85900024414063,2023-05-03 16:47:00.000,340
9.65700012207031,2023-05-03 17:42:00.000,340
9.60200012207031,2023-05-03 17:47:00.000,340
9.51599975585938,2023-05-03 18:42:00.000,340
9.36299987792969,2023-05-03 19:17:00.000,340
9.31200012207031,2023-05-03 19:42:00.000,340
9.20700012207031,2023-05-03 20:42:00.000,340
9.14299987792969,2023-05-03 21:07:00.000,340
9.05599975585938,2023-05-03 21:42:00.000,340
8.97700012207031,2023-05-03 22:42:00.000,340
8.91400024414063,2023-05-03 23:22:00.000,340
8.825,2023-05-03 23:42:00.000,340
8.86200012207031,2023-05-04 00:42:00.000,340
8.67400024414063,2023-05-04 01:07:00.000,340
8.58299987792969,2023-05-04 01:42:00.000,340
8.73,2023-05-04 02:42:00.000,340
8.92299987792969,2023-05-04 03:07:00.000,340
9.01400024414063,2023-05-04 03:42:00.000,340
9.15400024414063,2023-05-04 04:37:00.000,340
9.39400024414063,2023-05-04 05:42:00.000,340
9.625,2023-05-04 06:07:00.000,340
9.86200012207031,2023-05-04 06:37:00.000,340
10.1059997558594,2023-05-04 06:57:00.000,340
10.2819995117187,2023-05-04 07:42:00.000,340
10.3209997558594,2023-05-04 08:02:00.000,340
10.5790002441406,2023-05-04 08:37:00.000,340
10.5890002441406,2023-05-04 08:42:00.000,340
10.7719995117188,2023-05-04 09:42:00.000,340
10.8759997558594,2023-05-04 09:52:00.000,340
11.6540002441406,2023-05-04 09:57:00.000,340
11.9169995117187,2023-05-04 10:22:00.000,340
11.4690002441406,2023-05-04 10:32:00.000,340
11.5040002441406,2023-05-04 10:42:00.000,340
11.6890002441406,2023-05-04 11:37:00.000,340
11.5969995117187,2023-05-04 12:42:00.000,340
11.61,2023-05-04 13:42:00.000,340
11.415,2023-05-04 14:12:00.000,340
11.1430004882813,2023-05-04 14:27:00.000,340
11.1840002441406,2023-05-04 14:42:00.000,340
10.91,2023-05-04 15:12:00.000,340
10.6480004882812,2023-05-04 15:27:00.000,340
10.4380004882813,2023-05-04 15:42:00.000,340
